id,series,block,format,card_num,name,type,class,race,professions,talent,faction,type_tags,rarity,cost,cost_modifier,attack,strike_cost,damage_type,defense,health,rules,wowtcgdb_id,card_image,series_type,ally_faction,talent_restrictions,race_restrictions,profession_restrictions,reputation_restrictions
434,The Dark Portal,Heroes of Azeroth,Classic,073,Lightwell,Ability,Priest,,,Holy,Neutral,Talent,R,3,,0,,,0,0,"Holy Hero Required
Ongoing: Friendly heroes and allies have ""[Activate] >>> This character heals 2 damage from itselt.""",506,TDP_073.jpg,Core,Neutral,Holy,,,
435,The Dark Portal,Heroes of Azeroth,Classic,074,Mana Burn,Ability,Priest,,,Discipline,Neutral,,R,3,,0,,Shadow,0,0,Exhaust all of target player’s ready resources. Your hero deals 1 shadow damage to that player's hero for each resource exhausted this way.,772,TDP_074.jpg,Core,Neutral,,,,
436,The Dark Portal,Heroes of Azeroth,Classic,075,Mind Vision,Ability,Priest,,,Shadow,Neutral,,C,1,,0,,,0,0,"Choose an opponent.
Ongoing: That opponent plays with his hand revealed.
When you play a card, destroy Mind Vision. If you do, draw a card.",682,TDP_075.jpg,Core,Neutral,,,,
437,The Dark Portal,Heroes of Azeroth,Classic,076,Power Word: Shield,Ability,Priest,,,Discipline,Neutral,Instant,C,1,,0,,,0,0,"Attach to target hero or ally.
Ongoing: Prevent all damage that would be dealt to attached character. When damage is prevented this way, destroy Power Word: Shield.",696,TDP_076.jpg,Core,Neutral,,,,
438,The Dark Portal,Heroes of Azeroth,Classic,077,Renew,Ability,Priest,,,Holy,Neutral,Instant,U,1,,0,,,0,0,"Attach to target hero or ally.
Ongoing: At the start of your turn, your hero heals 1 damage from attached character.",702,TDP_077.jpg,Core,Neutral,,,,
439,The Dark Portal,Heroes of Azeroth,Classic,078,Shadow Word: Death,Ability,Priest,,,Shadow,Neutral,Instant,C,2,,0,,Shadow,0,0,"Your hero deals 3 shadow damage to target hero or ally. If that character doesn't have fatal damage on it, put 3 damage on your hero.",712,TDP_078.jpg,Core,Neutral,,,,
440,The Dark Portal,Heroes of Azeroth,Classic,079,Ambush,Ability,Rogue,,,Assassination,Neutral,Instant Combo,R,3,,0,,Melee,0,0,"Play only if your hero has stealth.
Your hero deals X melee damage to target exhausted hero or ally, where X is 5 plus the ATK of one of your Daggers.",521,TDP_079.jpg,Core,Neutral,,,,
441,The Dark Portal,Heroes of Azeroth,Classic,080,Blade Flurry,Ability,Rogue,,,Combat,Neutral,Talent,R,4,,0,,,0,0,"Combat Hero Required
Ongoing: When your hero deals combat damage with a weapon to an ally, you may have your hero deal that much melee damage to another target hero or ally.",515,TDP_080.jpg,Core,Neutral,Combat,,,
442,The Dark Portal,Heroes of Azeroth,Classic,081,Distract,Ability,Rogue,,,Subtlety,Neutral,,C,3,,0,,,0,0,Exhaust all allies in target player's party. Each of those allies can't ready during its controller's next ready step.,528,TDP_081.jpg,Core,Neutral,,,,
443,The Dark Portal,Heroes of Azeroth,Classic,082,Kick,Ability,Rogue,,,Combat,Neutral,Instant,R,3,,0,,Melee,0,0,"Your hero deals 2 melee damage to target hero or ally. If you targeted a hero, you may interrupt an ability card played by its controller.",509,TDP_082.jpg,Core,Neutral,,,,
444,The Dark Portal,Heroes of Azeroth,Classic,083,Master of Deception,Ability,Rogue,,,Subtlety,Neutral,Talent,R,2,,0,,,0,0,"Subtlety Hero Required
Ongoing: Your hero has stealth. (Can't protect against it.)",680,TDP_083.jpg,Core,Neutral,Subtlety,,,
445,The Dark Portal,Heroes of Azeroth,Classic,084,Mind-numbing Poison,Ability,Rogue,,,Poison,Neutral,Instant,U,3,,0,,,0,0,"Attach to target hero that was dealt combat damage by your hero this turn.
Ongoing: At the start of attached hero's controller's turn, that player exhausts one of his ready resources.",544,TDP_084.jpg,Core,Neutral,,,,
446,The Dark Portal,Heroes of Azeroth,Classic,085,Prey on the Weak,Ability,Rogue,,,Assassination,Neutral,Instant,C,2,,0,,,0,0,Destroy target ally wth cost 4 or less.,697,TDP_085.jpg,Core,Neutral,,,,
447,The Dark Portal,Heroes of Azeroth,Classic,086,Purloin,Ability,Rogue,,,Subtlety,Neutral,,C,1,,0,,,0,0,Look at target opponent's hand and choose an ability or equipment card. That opponent discards that card.,490,TDP_086.jpg,Core,Neutral,,,,
448,The Dark Portal,Heroes of Azeroth,Classic,087,Shiv,Ability,Rogue,,,Combat,Neutral,Combo,C,1,,0,,Melee,0,0,Your hero deals 1 melee damage to target hero or ally. That damage counts as combat damage.,551,TDP_087.jpg,Core,Neutral,,,,
449,The Dark Portal,Heroes of Azeroth,Classic,088,Slaughter from the Shadows,Ability,Rogue,,,Assassination,Neutral,,R,4,,0,,,0,0,"Play only if your hero has stealth.
Destroy all exhausted allies.",784,TDP_088.jpg,Core,Neutral,,,,
450,The Dark Portal,Heroes of Azeroth,Classic,089,Slice and Dice,Ability,Rogue,,,Assassination,Neutral,Instant Finishing Move,U,2,,0,,Melee,0,0,"As an additional cost to play Slice and Dice, remove up to five Combo cards in your graveyard from the game.
Your hero deals X melee damage divided as you choose to any number of target heroes and/or allies, where X is the number of Combo cards you remove.",717,TDP_089.jpg,Core,Neutral,,,,
451,The Dark Portal,Heroes of Azeroth,Classic,090,Vanish,Ability,Rogue,,,Subtlety,Neutral,Instant,U,1,,0,,,0,0,"Your hero is elusive this turn. If it's defending, remove all attackers from combat.
Ongoing: Your hero has stealth.; When your hero deals damage, destroy Vanish.",508,TDP_090.jpg,Core,Neutral,,,,
452,The Dark Portal,Heroes of Azeroth,Classic,091,Ancestral Spirit,Ability,Shaman,,,Restoration,Neutral,,C,3,,0,,,0,0,Put target ally card from your graveyard into play if its cost is less than or equal to the number of resources you have. That ally enters play with damage on it equal to its health -1.,596,TDP_091.jpg,Core,Neutral,,,,
453,The Dark Portal,Heroes of Azeroth,Classic,092,Earth Elemental Totem,Ability,Shaman,,,Enhancement,Neutral,Instant Earth Totem (1),R,2,,0,,,0,0,"Totem (Can be attacked or targeted like an ally.)
Put an Earth Elemental ally token with 2 ATK, 2 health, and protector into play.
Ongoing",758,TDP_092.jpg,Core,Neutral,,,,
454,The Dark Portal,Heroes of Azeroth,Classic,093,Fire Nova Totem,Ability,Shaman,,,Elemental,Neutral,Fire Totem (1),U,1,,0,,Fire,0,1,"Totem (Can be attacked or targeted like an ally.)
Ongoing: At the start of your turn, destroy Fire Nova Totem. If you do, it deals 3 fire damage to each opposing hero and ally.",640,TDP_093.jpg,Core,Neutral,,,,
455,The Dark Portal,Heroes of Azeroth,Classic,094,Flame Shock,Ability,Shaman,,,Elemental,Neutral,Instant,C,3,,0,,Fire,0,0,"Attach to target hero or ally, and your hero deals 2 fire damage to it.
Ongoing: At the start of your turn, your hero deals 1 fire damage to attached character.",641,TDP_094.jpg,Core,Neutral,,,,
456,The Dark Portal,Heroes of Azeroth,Classic,095,Flametongue Weapon,Ability,Shaman,,,Enhancement,Neutral,Instant,U,2,,0,,Fire,0,0,"Attach to one of your Melee weapons.
Ongoing: When you strike with attached weapon, your hero deals 1 fire damage to target hero or ally.",642,TDP_095.jpg,Core,Neutral,,,,
457,The Dark Portal,Heroes of Azeroth,Classic,096,Grace of Air Totem,Ability,Shaman,,,Enhancement,Neutral,Air Totem (1),R,2,,0,,,0,1,"Totem (Can be attacked or targeted like an ally.)
Ongoing: Opposing allies can't attack your heroes, allies, or Totems unless their controller pays 1 for each attacker.",763,TDP_096.jpg,Core,Neutral,,,,
458,The Dark Portal,Heroes of Azeroth,Classic,097,Lightning Shield,Ability,Shaman,,,Enhancement,Neutral,Instant,R,4,,0,,Nature,0,0,"Lightning Shield enters play with three lightning counters on it.
Ongoing: When your hero is dealt damage by a hero or ally, remove a lightning counter from Lightning Shield. If you do, your hero deals 2 nature damage to that character. If you removed the last counter, destroy Lightning Shield.",771,TDP_097.jpg,Core,Neutral,,,,
459,The Dark Portal,Heroes of Azeroth,Classic,098,Lightning Storm,Ability,Shaman,,,Elemental,Neutral,,U,2,+x,0,,Nature,0,0,Your hero deals X nature damage divided as you choose to any number of target allies.,668,TDP_098.jpg,Core,Neutral,,,,
460,The Dark Portal,Heroes of Azeroth,Classic,099,Mana Tide Totem,Ability,Shaman,,,Restoration,Neutral,Talent Water Totem (1),R,4,,0,,,0,0,"Restoration Hero Required
Totem (Can be attacked or targeted like an ally.)
Ongoing: At the start of your turn, draw a card for each hero and ally in your party.",510,TDP_099.jpg,Core,Neutral,Restoration,,,
461,The Dark Portal,Heroes of Azeroth,Classic,100,Shock and Soothe,Ability,Shaman,,,Elemental,Neutral,Instant,C,4,,0,,Nature,0,0,Your hero deals 3 nature damage to target hero or ally and heals 3 damage from another target hero or ally.,714,TDP_100.jpg,Core,Neutral,,,,
462,The Dark Portal,Heroes of Azeroth,Classic,101,Stormstrike,Ability,Shaman,,,Enhancement,Neutral,Instant Talent,R,1,,0,,Nature,0,0,"Enhancement Hero Required
Ready your hero and one of your Melee weapons.
The next time your hero would deal nature damage this turn, it deals that much damage +2 instead.",553,TDP_101.jpg,Core,Neutral,Enhancement,,,
463,The Dark Portal,Heroes of Azeroth,Classic,102,Surge of Life,Ability,Shaman,,,Restoration,Neutral,Instant,C,2,,0,,,0,0,Your hero heals 5 damage from target hero or ally.,721,TDP_102.jpg,Core,Neutral,,,,
464,The Dark Portal,Heroes of Azeroth,Classic,103,Curse of Tongues,Ability,Warlock,,,Affliction,Neutral,Curse,U,2,,0,,,0,0,"Attach to target hero.
Ongoing: Attached hero's controller pays 1 more to play abilities.",621,TDP_103.jpg,Core,Neutral,,,,
465,The Dark Portal,Heroes of Azeroth,Classic,104,Doomguard,Ally,Warlock,Demon,,,Neutral,Pet (1),R,7,,8,,Melee,0,8,"When Doomguard enters play, choose at random a friendly hero or ally other than Doomguard, then destroy that character.
At the end of your turn, destroy target opposing ally.",475,TDP_104.jpg,Core,Neutral,,,,
466,The Dark Portal,Heroes of Azeroth,Classic,105,Eye of Kilrogg,Ability,Warlock,,,Demonology,Neutral,,C,2,,0,,,0,0,Look at target opponent's hand and choose a card. Remove that card from the game.,532,TDP_105.jpg,Core,Neutral,,,,
467,The Dark Portal,Heroes of Azeroth,Classic,106,Fel Armor,Ability,Warlock,,,Demonology,Neutral,,R,8,,0,,,0,0,"Ongoing: If your hero would deal damage with an ability, it deals that much damage +2 instead.
If a hero or ally would heal damage from your hero, it heals that much damage +2 instead.",760,TDP_106.jpg,Core,Neutral,,,,
468,The Dark Portal,Heroes of Azeroth,Classic,107,Fel Domination,Ability,Warlock,,,Demonology,Neutral,Talent,R,2,,0,,,0,0,"Demonology Hero Required
Ongoing: At the start of your turn, put a dominate counter on Fel Domination.
Destroy Fel Domination >>> You may put a Pet card from your hand into play if its cost is less than or equal to the number of dominate counters on Fel Domination.",635,TDP_107.jpg,Core,Neutral,Demonology,,,
469,The Dark Portal,Heroes of Azeroth,Classic,108,Hellfire,Ability,Warlock,,,Destruction,Neutral,,R,6,,0,,Fire,0,0,Your hero deals 5 fire damage to each hero and ally.,511,TDP_108.jpg,Core,Neutral,,,,
470,The Dark Portal,Heroes of Azeroth,Classic,109,Morfiel,Ally,Warlock,Demon,,,Neutral,Pet (1),U,4,,4,,Melee,0,4,Opponents pay 1 more to play abilities.,589,TDP_109.jpg,Core,Neutral,,,,
471,The Dark Portal,Heroes of Azeroth,Classic,110,Mortal Delights,Ability,Warlock,,,Affliction,Neutral,,U,3,,0,,,0,0,"Ongoing: Pay 1, Put 3 damage on your hero >>> Draw a card.",685,TDP_110.jpg,Core,Neutral,,,,
472,The Dark Portal,Heroes of Azeroth,Classic,111,Piztog,Ally,Warlock,Demon,,,Neutral,Pet (1),C,1,,0,,Fire,0,2,"Elusive
Other allies in your party have +1 health.",693,TDP_111.jpg,Core,Neutral,,,,
473,The Dark Portal,Heroes of Azeroth,Classic,112,Ritual Sacrifice,Ability,Warlock,,,Demonology,Neutral,,C,2,,0,,Shadow,0,0,Ongoing: Destroy an ally in your party >>> Your hero deals 1 shadow damage to target hero or ally.,707,TDP_112.jpg,Core,Neutral,,,,
474,The Dark Portal,Heroes of Azeroth,Classic,113,Shadowburn,Ability,Warlock,,,Destruction,Neutral,Instant Talent,R,2,,0,,Shadow,0,0,"Destruction Hero Required
As an additional cost to play Shadowburn, destroy one of your resources.
Your hero deals 4 shadow damage to target hero or ally. When that character is destroyed this turn, put the top card of your deck into your resource row face down and exhausted.",713,TDP_113.jpg,Core,Neutral,Destruction,,,
475,The Dark Portal,Heroes of Azeroth,Classic,114,Shred Soul,Ability,Warlock,,,Affliction,Neutral,,C,3,,0,,,0,0,Remove target ally from the game.,715,TDP_114.jpg,Core,Neutral,,,,
476,The Dark Portal,Heroes of Azeroth,Classic,115,Anger Management,Ability,Warrior,,,Arms,Neutral,Talent,R,3,,0,,,0,0,"Arms Hero Required
Ongoing: When your hero deals combat damage with a weapon to a hero, put the top card of your deck into your resource row face down and exhausted.",751,TDP_115.jpg,Core,Neutral,Arms,,,
477,The Dark Portal,Heroes of Azeroth,Classic,116,Bloodrage,Ability,Warrior,,,Protection,Neutral,,R,5,,0,,,0,0,"As an additional cost to play Bloodrage, put 2 damage on your hero.
Draw two cards.
Ongoing: At the start of your turn, put 1 damage on your hero and draw a card.",495,TDP_116.jpg,Core,Neutral,,,,
478,The Dark Portal,Heroes of Azeroth,Classic,117,Challenging Shout,Ability,Warrior,,,Fury,Neutral,Instant Shout,U,2,,0,,,0,0,"This turn, opposing heroes and allies must attack if able and can attack only your hero if able.",612,TDP_117.jpg,Core,Neutral,,,,
479,The Dark Portal,Heroes of Azeroth,Classic,118,Commanding Shout,Ability,Warrior,,,Fury,Neutral,Instant Shout,C,3,,0,,,0,0,Ongoing: Allies in your party have +1 health.,617,TDP_118.jpg,Core,Neutral,,,,
480,The Dark Portal,Heroes of Azeroth,Classic,119,Cruelty,Ability,Warrior,,,Fury,Neutral,Talent,R,3,,0,,,0,0,"Fury Hero Required
Ongoing: Your hero has +1 ATK while you have a weapon.",757,TDP_119.jpg,Core,Neutral,Fury,,,
481,The Dark Portal,Heroes of Azeroth,Classic,120,Crushing Blow,Ability,Warrior,,,Fury,Neutral,,C,4,,0,,,0,0,Choose one or both: Destroy target armor; or destroy target weapon.,620,TDP_120.jpg,Core,Neutral,,,,
482,The Dark Portal,Heroes of Azeroth,Classic,121,Intercept,Ability,Warrior,,,Fury,Neutral,Instant,C,1,,0,,Melee,0,0,"Exhaust target hero or ally, and your hero deals 1 melee damage to it.",539,TDP_121.jpg,Core,Neutral,,,,
483,The Dark Portal,Heroes of Azeroth,Classic,122,Killing Spree,Ability,Warrior,,,Fury,Neutral,,R,3,,0,,,0,0,Destroy all allies with damage on them.,664,TDP_122.jpg,Core,Neutral,,,,
484,The Dark Portal,Heroes of Azeroth,Classic,123,Revenge,Ability,Warrior,,,Protection,Neutral,Instant,U,1,,0,,,0,0,"You can't play Revenge during combat.
Destroy target ally that attacked your hero this turn but dealt no comat damage to your hero this turn.",703,TDP_123.jpg,Core,Neutral,,,,
485,The Dark Portal,Heroes of Azeroth,Classic,124,Slam,Ability,Warrior,,,Fury,Neutral,,U,3,,0,,Melee,0,0,"Your hero deals X melee damage to target hero or ally, where X is 1 plus the ATK of one of your Melee weapons.",552,TDP_124.jpg,Core,Neutral,,,,
486,The Dark Portal,Heroes of Azeroth,Classic,125,Thunder Clap,Ability,Warrior,,,Arms,Neutral,Instant,R,4,,0,,Melee,0,0,Your hero deals 1 melee damage to each opposing hero and ally. A character dealt damage this way has -1 ATK this turn.,512,TDP_125.jpg,Core,Neutral,,,,
487,The Dark Portal,Heroes of Azeroth,Classic,126,Vigilance,Ability,Warrior,,,Protection,Neutral,,C,3,,0,,,0,0,"Ongoing: Your hero has protector.
[Activate] >>> Ready your hero. Use only on an opponent's turn.",741,TDP_126.jpg,Core,Neutral,,,,
488,The Dark Portal,Heroes of Azeroth,Classic,127,Dual Wield,Ability,HuRoWr,,,,Neutral,Instant,U,1,,0,,,0,0,Ongoing: Your hero has dual wield. (Can have a second one-handed Melee weapon instead of an Off-Hand equipment. Can strike with a second Melee weapon during the same combat.),561,TDP_127.jpg,Core,Neutral,,,,
489,The Dark Portal,Heroes of Azeroth,Classic,128,Diplomacy,Ability,Any,,,,Alliance,,U,3,,0,,,0,0,"Human Hero Required
Ongoing: You pay 1 less to play allies, to a minimum of 1.",629,TDP_128.jpg,Core,Neutral,,Human,,
490,The Dark Portal,Heroes of Azeroth,Classic,129,Escape Artist,Ability,Any,,,,Alliance,Instant,U,1,,0,,,0,0,"Gnome Hero Required
Choose one: Interrupt target ability card that's targeting your hero; or if your hero is defending, remove all attackers from combat.",634,TDP_129.jpg,Core,Neutral,,Gnome,,
491,The Dark Portal,Heroes of Azeroth,Classic,130,Heroic Presence,Ability,Any,,,,Alliance,,U,3,,0,,,0,0,"Draenei Hero Required
Ongoing: Pay 2 >>> Allies in your party have +1 ATK this turn.",767,TDP_130.jpg,Core,Neutral,,Draenei,,
492,The Dark Portal,Heroes of Azeroth,Classic,131,Shadowmeld,Ability,Any,,,,Alliance,,U,3,,0,,,0,0,"Night Elf Hero Required
Ongoing: Your hero is elusive and untargetable.
At the start of your turn, destroy Shadowmeld.",550,TDP_131.jpg,Core,Neutral,,Night Elf,,
493,The Dark Portal,Heroes of Azeroth,Classic,132,Stoneform,Ability,Any,,,,Alliance,Instant,U,2,,0,,,0,0,"Dwarf Hero Required
Destroy any number of abilities attached to your hero.
Ongoing: Each of your armor has +1 DEF.",487,TDP_132.jpg,Core,Neutral,,Dwarf,,
494,The Dark Portal,Heroes of Azeroth,Classic,133,Arcane Torrent,Ability,Any,,,,Horde,Instant,U,3,,0,,,0,0,"Blood Elf Hero Required
Interrupt all other ability cards. Opponents can't play abilities this turn.",476,TDP_133.jpg,Core,Neutral,,Blood Elf,,
495,The Dark Portal,Heroes of Azeroth,Classic,134,Berserking,Ability,Any,,,,Horde,,U,3,,0,,,0,0,"Troll Hero Required
Ongoing: When your hero is dealt damage, put a berserk counter on Berserking.
When your hero attacks, remove all berserk counters from Berserking. Your hero has +1 ATK this combat for each counter you removed.",523,TDP_134.jpg,Core,Neutral,,Troll,,
496,The Dark Portal,Heroes of Azeroth,Classic,135,Blood Fury,Ability,Any,,,,Horde,,U,4,+x,0,,,0,0,"Orc Hero Required
Blood Fury enters play with X fury counters on it.
Ongoing: Your hero has +1 ATK while attacking for each fury counter on Blood Fury.",606,TDP_135.jpg,Core,Neutral,,Orc,,
497,The Dark Portal,Heroes of Azeroth,Classic,136,Cannibalize,Ability,Any,,,,Horde,,U,2,,0,,,0,0,"Undead Hero Required
Remove any number of ally cards in graveyards from the game. Your hero heals 2 damage from itself for each card removed.",144,TDP_136.jpg,Core,Neutral,,Undead,,
498,The Dark Portal,Heroes of Azeroth,Classic,137,War Stomp,Ability,Any,,,,Horde,Instant,U,3,,0,,,0,0,"Tauren Hero Required
Exhaust all opposing heroes and allies.",792,TDP_137.jpg,Core,Neutral,,Tauren,,
499,The Dark Portal,Heroes of Azeroth,Classic,138,Boat to Booty Bay,Ability,Any,,,,Neutral,Unique,E,4,,0,,,0,0,"Ongoing: [Activate] >>> Remove an ally in your party from the game. Use only on your turn.
[Activate], Destroy Boat to Booty Bay > Put all ally cards removed by Boat to Booty Bay into play under your control. Use only on your turn.",524,TDP_138.jpg,Core,Neutral,,,,
500,The Dark Portal,Heroes of Azeroth,Classic,139,Desperate Block,Ability,Any,,,,Neutral,Instant,C,2,,0,,,0,0,Prevent the next 2 damage that would be dealt to target hero or ally this turn.,628,TDP_139.jpg,Core,Neutral,,,,
501,The Dark Portal,Heroes of Azeroth,Classic,140,Echoes of the Shifting Sands,Ability,Any,,,,Neutral,,E,15,,0,,,0,0,"Each player reveals his hand, puts all revealed ally cards in to play, and then shuffles his deck.",759,TDP_140.jpg,Core,Neutral,,,,
502,The Dark Portal,Heroes of Azeroth,Classic,141,First to Fall,Ability,Any,,,,Neutral,Instant,C,2,,0,,,0,0,Destroy target protecting ally.,520,TDP_141.jpg,Core,Neutral,,,,
503,The Dark Portal,Heroes of Azeroth,Classic,142,Flash of Steel,Ability,Any,,,,Neutral,,C,4,,0,,Melee,0,0,Your hero deals 3 melee damage to target hero or ally.,643,TDP_142.jpg,Core,Neutral,,,,
504,The Dark Portal,Heroes of Azeroth,Classic,143,Fortune Telling,Ability,Any,,,,Neutral,,R,8,,0,,,0,0,Turn your deck over.,533,TDP_143.jpg,Core,Neutral,,,,
505,The Dark Portal,Heroes of Azeroth,Classic,144,Furious Resolve,Ability,Any,,,,Neutral,Instant,C,2,,0,,,0,0,"Attach to target ally.
Ongoing: Attached ally has +1 ATK and +1 health.",644,TDP_144.jpg,Core,Neutral,,,,
506,The Dark Portal,Heroes of Azeroth,Classic,145,Legend of Mount Hyjal,Ability,Any,,,,Neutral,,R,10,,0,,,0,0,Destroy all allies.,499,TDP_145.jpg,Core,Neutral,,,,
507,The Dark Portal,Heroes of Azeroth,Classic,146,Lessons in Lurking,Ability,Any,,,,Neutral,,C,2,,0,,,0,0,"Attach to target ally.
Ongoing: Attached ally has stealth. (Can't protect against it.)",517,TDP_146.jpg,Core,Neutral,,,,
508,The Dark Portal,Heroes of Azeroth,Classic,147,Malfunction,Ability,Any,,,,Neutral,Instant,C,4,,0,,,0,0,Target player destroys one of his equipment.,676,TDP_147.jpg,Core,Neutral,,,,
509,The Dark Portal,Heroes of Azeroth,Classic,148,Rest and Relaxation,Ability,Any,,,,Neutral,,R,4,,0,,,0,0,"Ongoing: Pay 1, [Activate], Exhaust two allies in your party >>> Draw a card.",579,TDP_148.jpg,Core,Neutral,,,,
510,The Dark Portal,Heroes of Azeroth,Classic,149,Swift Assault,Ability,Any,,,,Neutral,Instant,C,2,,0,,,0,0,Target ally has +2 ATK this turn.,722,TDP_149.jpg,Core,Neutral,,,,
511,The Dark Portal,Heroes of Azeroth,Classic,150,Turn Aside,Ability,Any,,,,Neutral,Instant,C,3,,0,,,0,0,Prevent all combat damage that would be dealt by target ally this turn.,732,TDP_150.jpg,Core,Neutral,,,,
512,The Dark Portal,Heroes of Azeroth,Classic,151,Unraveled Plans,Ability,Any,,,,Neutral,Instant,C,3,,0,,,0,0,Target player destroys one of his abilities.,735,TDP_151.jpg,Core,Neutral,,,,
513,The Dark Portal,Heroes of Azeroth,Classic,152,Unwelcome Visitor,Ability,Any,,,,Neutral,Instant,C,4,,0,,,0,0,Target player destroys an ally in his party.,736,TDP_152.jpg,Core,Neutral,,,,
514,The Dark Portal,Heroes of Azeroth,Classic,153,Apprentice Merry,Ally,Mage,Gnome,,,Alliance,,C,1,,2,,Frost,0,1,Untargetable,597,TDP_153.jpg,Core,Neutral,,,,
515,The Dark Portal,Heroes of Azeroth,Classic,154,Avanthera,Ally,Hunter,Night Elf,,,Alliance,,C,2,,3,,Ranged,0,2,"Pay 1 >>> If Avanthera is in combat, remove her from combat.",602,TDP_154.jpg,Core,Neutral,,,,
516,The Dark Portal,Heroes of Azeroth,Classic,155,"Barnathrum, Lord of Pain",Ally,Warlock,Human,,,Alliance,,C,4,,3,,Shadow,0,4,"Pay 1, [Activate] >>> Double the damage on each ally.",522,TDP_155.jpg,Core,Neutral,,,,
517,The Dark Portal,Heroes of Azeroth,Classic,156,Bretander of the Claw,Ally,Druid,Night Elf,,,Alliance,,C,6,,5,,Melee,0,5,"Protector, Stealth",609,TDP_156.jpg,Core,Neutral,,,,
518,The Dark Portal,Heroes of Azeroth,Classic,157,Brother Rhone,Ally,Paladin,Dwarf,,,Alliance,,C,2,,0,,Melee,0,1,"Protector
Prevent all combat damage that would be dealt to Brother Rhone by attacking allies.",610,TDP_157.jpg,Core,Neutral,,,,
519,The Dark Portal,Heroes of Azeroth,Classic,158,Bubula del Kissel,Ally,Rogue,Gnome,,,Alliance,,C,2,,2,,Melee,0,2,"Stealth (Can't protect against this character.)
[Activate] >>> Target hero or ally has stealth this turn.",498,TDP_158.jpg,Core,Neutral,,,,
520,The Dark Portal,Heroes of Azeroth,Classic,159,Cerwyn,Ally,Druid,Night Elf,,,Alliance,,C,1,,1,,Nature,0,2,,611,TDP_159.jpg,Core,Neutral,,,,
521,The Dark Portal,Heroes of Azeroth,Classic,160,"""Chipper"" Ironbane",Ally,Warrior,Dwarf,,,Alliance,,C,2,,3,,Melee,0,1,"Pay X, Destroy ""Chipper"" Ironbane >>> Destroy target ability or equipment with cost X.",613,TDP_160.jpg,Core,Neutral,,,,
522,The Dark Portal,Heroes of Azeroth,Classic,161,Darnassus Sentinels,Ally,Warrior,Night Elf,,,Alliance,Unlimited,C,2,,1,,Melee,0,2,"When Darnassus Sentinels enters play, you may pay 1. If you do, put a card named Darnassus Sentinels from your graveyard into your hand.",624,TDP_161.jpg,Core,Neutral,,,,
523,The Dark Portal,Heroes of Azeroth,Classic,162,Durdin Hammerhand,Ally,Paladin,Dwarf,,,Alliance,,C,3,,3,,Melee,0,3,Destroy Durdin Hammerhand >>> Exhaust target hero or ally.,631,TDP_162.jpg,Core,Neutral,,,,
524,The Dark Portal,Heroes of Azeroth,Classic,163,Field Commander Olinnae,Ally,Warrior,Draenei,,,Alliance,,U,7,,6,,Melee,0,5,"Protector
All other allies in your party have protector.",762,TDP_163.jpg,Core,Neutral,,,,
525,The Dark Portal,Heroes of Azeroth,Classic,164,"Gertha, The Old Crone",Ally,Warlock,Gnome,,,Alliance,,U,3,,1,,Shadow,0,3,"Pay 1, [Activate], Destroy an ally in your party >>> Destroy target ally.",645,TDP_164.jpg,Core,Neutral,,,,
526,The Dark Portal,Heroes of Azeroth,Classic,165,Goldenmoon,Ally,Rogue,Night Elf,,,Alliance,,U,3,,2,,Melee,0,2,"Elusive
You can have an additional Pet while your Pets have different names.",535,TDP_165.jpg,Core,Neutral,,,,
527,The Dark Portal,Heroes of Azeroth,Classic,166,Gustaf Trueshot,Ally,Hunter,Dwarf,,,Alliance,,R,6,,6,,Ranged,0,3,"Dwarf Hero Required
Long-Range (Defenders deal no combat damage to this character.)
Pay 1 >>> Look at the top card of your deck. You may put it into your graveyard.",765,TDP_166.jpg,Core,Neutral,,Dwarf,,
528,The Dark Portal,Heroes of Azeroth,Classic,167,High Priestess Tyrande Whisperwind,Ally,Priest,Night Elf,,,Alliance,Unique,E,5,,3,,Nature,0,4,"When a Night Elf in your party is destroyed, put a Wisp ally token with 0 ATK and 1 health into play.
Pay 1, Destroy a Wisp in your party >>> That Wisp deals 1 nature damage to each opposing hero and ally.",486,TDP_167.jpg,Core,Neutral,,,,
529,The Dark Portal,Heroes of Azeroth,Classic,168,Ilandre Moonspear,Ally,Druid,Night Elf,,,Alliance,,R,4,,2,,Nature,0,4,"Night Elf Hero Required
Elusive
[Activate] >>> Put your hand on the bottom of your deck, then draw that many cards.",653,TDP_168.jpg,Core,Neutral,,Night Elf,,
530,The Dark Portal,Heroes of Azeroth,Classic,169,Ivus the Forest Lord,Ally,Any,Ancient,,,Alliance,Unique,E,14,,10,,Nature,0,10,"You pay 1 less to play Ivus for each non-token Alliance ally in your party.
Each opposing ability, ally, and equipment can't ready during its controller's ready step.",577,TDP_169.jpg,Core,Neutral,,,,
531,The Dark Portal,Heroes of Azeroth,Classic,170,Jeleane Nightbreeze,Ally,Hunter,Night Elf,,,Alliance,,C,2,,3,,Ranged,0,2,Untargetable,658,TDP_170.jpg,Core,Neutral,,,,
532,The Dark Portal,Heroes of Azeroth,Classic,171,Kal'ai the Uplifting,Ally,Paladin,Draenei,,,Alliance,Draenei Hero Required,R,5,,5,,Melee,0,4,"Draenei Hero Required
Other allies in your party have +1 ATK and +1 health.",480,TDP_171.jpg,Core,Neutral,,Draenei,,
